71256,The Daily Show
82483,The Soup
194751,Conan (Conan (2010))
75088,David Letterman (Late Show with David Letterman)
70336,Jay Leno (Late Show with David Letterman)
73387,Craig Ferguson (The Late Late Show with Craig Ferguson)
249673,George Stroumboulopoulos Tonight
114851,Chelsea Lately
79274,The Colbert Report
72194,The Ellen Degeneres Show
71424,The Dr Phil Show
